Stock,Symbol
Mukesh Strips,Yearly Results of Mukesh Strips and Tubes (in Rs. Cr.)
Mukta Agri,Yearly Results of Mukta Agriculture (in Rs. Cr.)
Mukta Arts,Yearly Results of Mukta Arts (in Rs. Cr.)
Mukund Engg,Yearly Results of Mukand Engineers (in Rs. Cr.)
Mukunda Ind Fin,Yearly Results of Mukunda Industrial Finance (in Rs. Cr.)
Muller and Phip,Yearly Results of Muller and Phipps (India) (in Rs. Cr.)
Multi-Arc India,Yearly Results of Multi-Arc India (in Rs. Cr.)
Multibase India,Yearly Results of Multibase India (in Rs. Cr.)
Multiplus Hold,Yearly Results of Multiplus Holding (in Rs. Cr.)
Multipurpose,Yearly Results of Multipurpose (in Rs. Cr.)
Munjal Auto Ind,Yearly Results of Munjal Auto Industries (in Rs. Cr.)
Munjal Showa,Yearly Results of Munjal Showa (in Rs. Cr.)
Munoth Capital,Yearly Results of Munoth Capital Markets (in Rs. Cr.)
Munoth Comm,Yearly Results of Munoth Communication Ltd. (in Rs. Cr.)
Munoth Fin Serv,Yearly Results of Munoth Financial Services (in Rs. Cr.)
Murablack,Yearly Results of Murablack India (in Rs. Cr.)
Murli,Yearly Results of Murli Industries . (in Rs. Cr.)
Murudeshwar Cer,Yearly Results of Murudeshwar Ceramics (in Rs. Cr.)
Music Broadcast,Yearly Results of Music Broadcast (in Rs. Cr.)
Muthoot Cap,Yearly Results of Muthoot Capital Services (in Rs. Cr.)
Muthoot Finance,Yearly Results of Muthoot Finance (in Rs. Cr.)
Muthoot Micro,Yearly Results of Muthoot Microfin (in Rs. Cr.)
Muzali Arts,Yearly Results of  (in Rs. Cr.)
MV Cotspin Ltd,Yearly Results of MV Cotspin (in Rs. Cr.)
MVL,Yearly Results of MVL (in Rs. Cr.)
MW Unitexx,Yearly Results of MW Unitexx (in Rs. Cr.)
My Money Sec,Yearly Results of My Money Securities (in Rs. Cr.)
MYM Technology,Yearly Results of MYM Technology (in Rs. Cr.)
Mysore Paper,Yearly Results of Mysore Paper Mills (in Rs. Cr.)
Mysore Petro,Yearly Results of Mysore Petro Chemicals (in Rs. Cr.)
Mystic Electr,Yearly Results of Mystic Electronics (in Rs. Cr.)
N2N Tech,Yearly Results of N2N Technologies (in Rs. Cr.)
Naapbooks,Yearly Results of Naapbooks (in Rs. Cr.)
Nachmo Knitex,Yearly Results of Nachmo Knitex (in Rs. Cr.)
Nacl Industries,Yearly Results of Nacl Industries (in Rs. Cr.)
Naga Dhunseri,Yearly Results of Naga Dhunseri Group (in Rs. Cr.)
Nagarjuna Ag,Yearly Results of Nagarjuna Agritech (in Rs. Cr.)
Nagarjuna Fert,Yearly Results of Nagarjuna Fertilisers and Chemicals (in Rs. Cr.)
Nagarjuna Fin,Yearly Results of Nagarjuna Finance (in Rs. Cr.)
Nagarjuna Gran,Yearly Results of Nagarjuna Granites (in Rs. Cr.)
Nagarjuna Oil,Yearly Results of Nagarjuna Oil Refinery (in Rs. Cr.)
Nagpur Power,Yearly Results of Nagpur Power Industries (in Rs. Cr.)
Nagreeka Cap,Yearly Results of Nagreeka Capital and Infrastructure (in Rs. Cr.)
Nagreeka Export,Yearly Results of Nagreeka Exports (in Rs. Cr.)
Nahar Capital,Yearly Results of Nahar Capital and Financial Services (in Rs. Cr.)
Nahar Ent,Yearly Results of Nahar Industrial Enterprises (in Rs. Cr.)
Nahar Poly Film,Yearly Results of Nahar Poly Films (in Rs. Cr.)
Nahar Spinning,Yearly Results of Nahar Spinning Mills (in Rs. Cr.)
Naina Semicondu,Yearly Results of Naina Semiconductor (in Rs. Cr.)
Naisargik Agri,Yearly Results of Naisargik Agritech (India) (in Rs. Cr.)
Nakoda,Yearly Results of Nakoda (in Rs. Cr.)
Nakoda Group,Yearly Results of Nakoda Group of Industries (in Rs. Cr.)
Naksh Precious,Yearly Results of Naksh Precious Metals (in Rs. Cr.)
Nakshatra Infra,Yearly Results of Nakshatra Infrastructure (in Rs. Cr.)
NALCO,Yearly Results of National Aluminium Company (in Rs. Cr.)
Nalin Leasing,Yearly Results of Nalin Lease Finance (in Rs. Cr.)
Nalwa Sons,Yearly Results of Nalwa Sons Investment (in Rs. Cr.)
Nam Securities,Yearly Results of Nam Securities (in Rs. Cr.)
Namaste Exports,Yearly Results of Namaste Exports (in Rs. Cr.)
Namtech Electro,Yearly Results of Namtech Electronic Devices (in Rs. Cr.)
Nanavati Vent,Yearly Results of Nanavati Ventures (in Rs. Cr.)
Nandan Denim,Yearly Results of Nandan Denim (in Rs. Cr.)
Nandani Creatio,Yearly Results of Nandani Creation (in Rs. Cr.)
Naraingarh Suga,Yearly Results of Naraingarh Sugar Mills (in Rs. Cr.)
Narang Ind,Yearly Results of Narang Industries (in Rs. Cr.)
Narayana Hruda,Yearly Results of Narayana Hrudayalaya (in Rs. Cr.)
Narbada Gems,Yearly Results of Narbada Gems and Jewellery (in Rs. Cr.)
Narendra Prop,Yearly Results of Narendra Properties (in Rs. Cr.)
Narmada Agrobas,Yearly Results of Narmada Agrobase (in Rs. Cr.)
Narmada Gelatin,Yearly Results of Narmada Gelatines (in Rs. Cr.)
Narmada Macplas,Yearly Results of Narmada Macplast Drip Irrigation Systems (in Rs. Cr.)
Natco Eco.,Yearly Results of Natco Economicals (in Rs. Cr.)
Natco Pharma,Yearly Results of Natco Pharma (in Rs. Cr.)
Natco Polyplast,Yearly Results of Natco Polyplast (in Rs. Cr.)
Nath Bio-Genes,Yearly Results of Nath Bio-Genes (in Rs. Cr.)
Nath Industries,Yearly Results of Nath Industries Limited (in Rs. Cr.)
Nath Pulp,Yearly Results of Nath Pulp and Paper Mills (in Rs. Cr.)
National Fittin,Yearly Results of National Fittings (in Rs. Cr.)
National Flask,Yearly Results of National Flask (in Rs. Cr.)
National Ind,Yearly Results of National General Industries (in Rs. Cr.)
National Oxygen,Yearly Results of National Oxygen (in Rs. Cr.)
National Perox,Yearly Results of National Peroxide (in Rs. Cr.)
National Plasti,Yearly Results of National Plastic Industries (in Rs. Cr.)
National Plywoo,Yearly Results of National Plywood Industries (in Rs. Cr.)
National Stand,Yearly Results of National Standard (India) (in Rs. Cr.)
National Steel,Yearly Results of National Steel & Agro Industries (in Rs. Cr.)
National Switch,Yearly Results of National Switchgears (in Rs. Cr.)
National Tech,Yearly Results of National Plastic Technologies (in Rs. Cr.)
Natraj Proteins,Yearly Results of Natraj Proteins (in Rs. Cr.)
Natura Hue,Yearly Results of Natura Hue Chem (in Rs. Cr.)
Natural Biocon,Yearly Results of Natural Biocon (India) (in Rs. Cr.)
Natural Capsule,Yearly Results of Natural Capsules (in Rs. Cr.)
Natural Stone,Yearly Results of Natural Stone Exports (in Rs. Cr.)
Naturite Agro,Yearly Results of Naturite Agro Products (in Rs. Cr.)
Naturo Indiabul,Yearly Results of Naturo Indiabull (in Rs. Cr.)
NAVA,Yearly Results of NAVA (in Rs. Cr.)
Naval Techno,Yearly Results of Naval Technoplast Industries (in Rs. Cr.)
Navcom Ind,Yearly Results of Navcom Industries (in Rs. Cr.)
Navigant Corp.,Yearly Results of Navigant Corporate Advisors (in Rs. Cr.)
Navin Fluorine,Yearly Results of Navin Fluorine International (in Rs. Cr.)
Navkar Corp,Yearly Results of Navkar Corporation (in Rs. Cr.)
Navkar Urban.,Yearly Results of Navkar Urbanstructure (in Rs. Cr.)
Navketan Merch,Yearly Results of Navketan Merchants (in Rs. Cr.)
Navneet,Yearly Results of Navneet Education (in Rs. Cr.)
Navoday Ent,Yearly Results of Navoday Enterprises (in Rs. Cr.)
Navyug Elect,Yearly Results of Navyug Elect (in Rs. Cr.)
Nayagara Paper,Yearly Results of Nayagara Paper Products (in Rs. Cr.)
Naysaa Sec,Yearly Results of Naysaa Securities (in Rs. Cr.)
Nazara,Yearly Results of Nazara Technologies (in Rs. Cr.)
NB Footwear,Yearly Results of NB Footwear (in Rs. Cr.)
NBCC (India),Yearly Results of NBCC (India) (in Rs. Cr.)
NBI Industrial,Yearly Results of NBI Industrial Finance Company (in Rs. Cr.)
NCC,Yearly Results of NCC (in Rs. Cr.)
NCC Blue Water,Yearly Results of NCC Blue Water Products (in Rs. Cr.)
NCC Finance,Yearly Results of NCC Finance (in Rs. Cr.)
NCL Industries,Yearly Results of NCL Industries (in Rs. Cr.)
NCL Research,Yearly Results of NCL Research and Financial Services (in Rs. Cr.)
ND Metal,Yearly Results of ND Metal Industries (in Rs. Cr.)
NDA Securities,Yearly Results of NDA Securities (in Rs. Cr.)
NDL Ventures,Yearly Results of NDL Ventures (in Rs. Cr.)
Ndr Auto Compon,Yearly Results of Ndr Auto Components (in Rs. Cr.)
NDTV,Yearly Results of New Delhi Television (in Rs. Cr.)
Nectar Life,Yearly Results of Nectar Lifesciences (in Rs. Cr.)
Neelamalai Agro,Yearly Results of Neelamalai Agro Industries (in Rs. Cr.)
Neelkanth Motel,Yearly Results of Neelkanth Motels and Hotels (in Rs. Cr.)
Neelkanth Rock,Yearly Results of Neelkanth Rockminerals (in Rs. Cr.)
Neeraj Paper,Yearly Results of Neeraj Paper Marketing (in Rs. Cr.)
Negotium Int,Yearly Results of Negotium International Trade (in Rs. Cr.)
Neha Intl,Yearly Results of Neha International (in Rs. Cr.)
Neha Proteins,Yearly Results of Neha Proteins (in Rs. Cr.)
Neil Industries,Yearly Results of Neil industries (in Rs. Cr.)
Nelcast,Yearly Results of Nelcast (in Rs. Cr.)
NELCO,Yearly Results of NELCO (in Rs. Cr.)
Neo Corp,Yearly Results of Neo Corp International (in Rs. Cr.)
Neo Infracon,Yearly Results of Neo Infracon (in Rs. Cr.)
Neogem India,Yearly Results of Neogem India (in Rs. Cr.)
Neogen,Yearly Results of Neogen Chemicals (in Rs. Cr.)
NEPC Agro Foods,Yearly Results of NEPC Agro Foods (in Rs. Cr.)
NEPC India,Yearly Results of NEPC India (in Rs. Cr.)
NEPC Paper,Yearly Results of NEPC Paper and Board (in Rs. Cr.)
NEPC Textiles,Yearly Results of NEPC Textiles (in Rs. Cr.)
Neptune Exports,Yearly Results of Neptune Exports (in Rs. Cr.)
NESCO,Yearly Results of NESCO (in Rs. Cr.)
Nestle,Yearly Results of Nestle India (in Rs. Cr.)
Net 4 India,Yearly Results of Net 4 India (in Rs. Cr.)
Net Avenue Tech,Yearly Results of Net Avenue Technologies (in Rs. Cr.)
Net Pix,Yearly Results of Net Pix Shorts Digital Media (in Rs. Cr.)
Netlink Sol,Yearly Results of Netlink Solutions (in Rs. Cr.)
Nettlinx,Yearly Results of Nettlinx (in Rs. Cr.)
Netvision Web,Yearly Results of Netvision Web Technologies (in Rs. Cr.)
Netvista Info,Yearly Results of Netvista Information Technology (in Rs. Cr.)
Network 18,Yearly Results of Network 18 Media & Investments (in Rs. Cr.)
Network People,Yearly Results of Network People Services Technologies (in Rs. Cr.)
Neueon Towers,Yearly Results of Neueon Towers (in Rs. Cr.)
Neuland Lab,Yearly Results of Neuland Laboratories (in Rs. Cr.)
New India Assur,Yearly Results of New India Assurance Company (in Rs. Cr.)
New Light Appar,Yearly Results of New Light Apparels (in Rs. Cr.)
New Markets Adv,Yearly Results of New Markets Advisory (in Rs. Cr.)
Newever Trade,Yearly Results of Newever Trade Wings (in Rs. Cr.)
Newgen Software,Yearly Results of Newgen Software Technologies (in Rs. Cr.)
Newjaisa Techno,Yearly Results of Newjaisa Technologies (in Rs. Cr.)
Newtime Infra,Yearly Results of Newtime Infrastructure (in Rs. Cr.)
Nexcen Softech,Yearly Results of Nexcen Softech (in Rs. Cr.)
Next Mediaworks,Yearly Results of Next Mediaworks (in Rs. Cr.)
Nextgen,Yearly Results of Nextgen Animation Mediaa (in Rs. Cr.)
Nexus Software,Yearly Results of Nexus Software (in Rs. Cr.)
Nexus Surgical,Yearly Results of Nexus Surgical and Medicare Limited (in Rs. Cr.)
Nexxoft,Yearly Results of Nexxoft Infotel (in Rs. Cr.)
Neycer India,Yearly Results of Neycer India (in Rs. Cr.)
NFL,Yearly Results of National Fertilizers (in Rs. Cr.)
NG Industries,Yearly Results of NG Industries (in Rs. Cr.)
NGL Fine Chem,Yearly Results of NGL Fine Chem (in Rs. Cr.)
NHC Foods,Yearly Results of NHC Foods (in Rs. Cr.)
NHPC,Yearly Results of NHPC (in Rs. Cr.)
NIBE,Yearly Results of NIBE (in Rs. Cr.)
Nicco Corp,Yearly Results of Nicco Corporation (in Rs. Cr.)
Nicco Parks,Yearly Results of Nicco Park and Resorts (in Rs. Cr.)
Nicco Uco Fin,Yearly Results of Nicco Uco Financial Services (in Rs. Cr.)
Nidan Lab,Yearly Results of Nidan Laboratories & Healthcare (in Rs. Cr.)
Nidhi Granites,Yearly Results of Nidhi Granites (in Rs. Cr.)
Nidhi Polyester,Yearly Results of Nidhi Polyesters (in Rs. Cr.)
Nihar Info,Yearly Results of Nihar Info Global (in Rs. Cr.)
NIIT,Yearly Results of NIIT (in Rs. Cr.)
NIITMTS,Yearly Results of NIIT Learning Systems (in Rs. Cr.)
Nijjer Agro,Yearly Results of Nijjer Agro Products (in Rs. Cr.)
Nikhil Adhesive,Yearly Results of Nikhil Adhesives (in Rs. Cr.)
Nikki Global,Yearly Results of Nikki Global Finance (in Rs. Cr.)
Niks Technology,Yearly Results of Niks Technology (in Rs. Cr.)
Nila Infra,Yearly Results of Nila Infrastructures (in Rs. Cr.)
Nila Spaces,Yearly Results of Nila Spaces (in Rs. Cr.)
Nilachal Refra,Yearly Results of Nilachal Refractories (in Rs. Cr.)
Nile,Yearly Results of Nile (in Rs. Cr.)
Nilkamal,Yearly Results of Nilkamal (in Rs. Cr.)
Nilkanth Engine,Yearly Results of Nilkanth Engineering (in Rs. Cr.)
Nimbus Foods,Yearly Results of Nimbus Foods Industries (in Rs. Cr.)
Nimbus Ind,Yearly Results of Nimbus Industries (in Rs. Cr.)
Nimbus Projects,Yearly Results of Nimbus Projects (in Rs. Cr.)
NINtec SYSTEMS ,Yearly Results of NINtec SYSTEMS (in Rs. Cr.)
Nippon,Yearly Results of Nippon Life India Asset Management (in Rs. Cr.)
Niraj Cement,Yearly Results of Niraj Cement Structurals (in Rs. Cr.)
Nirav Comm,Yearly Results of Nirav Commercial (in Rs. Cr.)
Nirbhay Colours,Yearly Results of Nirbhay Colours India (in Rs. Cr.)
Nirlon,Yearly Results of Nirlon (in Rs. Cr.)
Nirma,Yearly Results of Nirma (in Rs. Cr.)
Nirmal Metal,Yearly Results of Nirmal Metal Fabricators (in Rs. Cr.)
Nirman Agri,Yearly Results of Nirman Agri Genetics (in Rs. Cr.)
Nirman Cement,Yearly Results of Nirman Cement (in Rs. Cr.)
Nirmitee Robot,Yearly Results of Nirmitee Robotics India (in Rs. Cr.)
Nishtha Finance,Yearly Results of Nishtha Finance and Investment (India) (in Rs. Cr.)
Nissan Copper,Yearly Results of Nissan Copper (in Rs. Cr.)
Nitco,Yearly Results of Nitco (in Rs. Cr.)
Nitin Castings,Yearly Results of Nitin Castings (in Rs. Cr.)
Nitin Fire Prot,Yearly Results of Nitin Fire Protection Industries (in Rs. Cr.)
Nitin Spinners,Yearly Results of Nitin Spinners (in Rs. Cr.)
Nitiraj Enginee,Yearly Results of Nitiraj Engineers (in Rs. Cr.)
Nitta Gelatin,Yearly Results of Nitta Gelatin India (in Rs. Cr.)
Nivaka Fashions,Yearly Results of Nivaka Fashions (in Rs. Cr.)
Nivi Trading,Yearly Results of Nivi Trading (in Rs. Cr.)
Nivyah Infra,Yearly Results of Nivyah Infrastructure & Telecom Services (in Rs. Cr.)
Niwas Spinning,Yearly Results of Niwas Spinning Mills (in Rs. Cr.)
Niyogin Fintech,Yearly Results of Niyogin Fintech Ltd (in Rs. Cr.)
NK Industries,Yearly Results of NK Industries (in Rs. Cr.)
NLC India,Yearly Results of NLC India (in Rs. Cr.)
NMDC,Yearly Results of NMDC (in Rs. Cr.)
NMDC Steel,Yearly Results of NMDC Steel (in Rs. Cr.)
NMS Resources,Yearly Results of NMS Resources Global (in Rs. Cr.)
Noble Explochem,Yearly Results of Noble Explochem (in Rs. Cr.)
Noble Polymers,Yearly Results of Noble Polymers (in Rs. Cr.)
NOCIL,Yearly Results of NOCIL (in Rs. Cr.)
Noel Agritech,Yearly Results of Noel Agritech (in Rs. Cr.)
Noesis Ind,Yearly Results of Noesis Industries (in Rs. Cr.)
Noida Medicare,Yearly Results of Noida Medicare (in Rs. Cr.)
Noida Toll,Yearly Results of Noida Toll Bridge Company (in Rs. Cr.)
Norben Tea,Yearly Results of Norben Tea and Exports (in Rs. Cr.)
Norris Medicine,Yearly Results of Norris Medicines (in Rs. Cr.)
North Eastern,Yearly Results of North Eastern Carrying Corporation (in Rs. Cr.)
Northern Proj,Yearly Results of Northern Project (in Rs. Cr.)
Northern Spirit,Yearly Results of Northern Spirits (in Rs. Cr.)
Northlink Fisc,Yearly Results of Northlink Fiscal and Capital Services (in Rs. Cr.)
Nouritrans Exim,Yearly Results of Nouritrans Exim (in Rs. Cr.)
Nouveau Global,Yearly Results of Nouveau Global Ventures (in Rs. Cr.)
Nova Iron,Yearly Results of Nova Iron & Steel (in Rs. Cr.)
NovaGold Petro,Yearly Results of NovaGold Petro-Resources (in Rs. Cr.)
Novartis India,Yearly Results of Novartis India (in Rs. Cr.)
Novateor Labs,Yearly Results of Novateor Research Laboratories (in Rs. Cr.)
Novopan,Yearly Results of Novopan India (in Rs. Cr.)
NPR Finance,Yearly Results of NPR Finance (in Rs. Cr.)
NR Agarwal,Yearly Results of NR Agarwal Industries (in Rs. Cr.)
NR Intl,Yearly Results of NR International (in Rs. Cr.)
NRB Bearings,Yearly Results of NRB Bearings (in Rs. Cr.)
NRB Industrial,Yearly Results of NRB Industrial Bearings (in Rs. Cr.)
NRC,Yearly Results of NRC (in Rs. Cr.)
NTC Industries,Yearly Results of NTC Industries (in Rs. Cr.)
NTPC,Yearly Results of NTPC (in Rs. Cr.)
Nu Tech Corpn,Yearly Results of Nu Tech Corporation (in Rs. Cr.)
Nu Tek India,Yearly Results of Nu Tek India (in Rs. Cr.)
Nuchem,Yearly Results of Nuchem (in Rs. Cr.)
Nucleus Softwar,Yearly Results of Nucleus Software Exports (in Rs. Cr.)
Numech Emballag,Yearly Results of Numech Emballage (in Rs. Cr.)
Numero Uno,Yearly Results of Numero Uno Projects (in Rs. Cr.)
Nupur Rec,Yearly Results of Nupur Recyclers (in Rs. Cr.)
Nureca,Yearly Results of Nureca (in Rs. Cr.)
Nutech Global,Yearly Results of Nutech Global (in Rs. Cr.)
Nutraplus India,Yearly Results of Nutraplus India (in Rs. Cr.)
Nuvama Wealth,Yearly Results of Nuvama Wealth Management Ltd (in Rs. Cr.)
Nuway Organic N,Yearly Results of Nuway Organic Naturals (India) (in Rs. Cr.)
Nyssa Corp,Yearly Results of Nyssa Corporation (in Rs. Cr.)
O. P. Chains,Yearly Results of O. P. Chains (in Rs. Cr.)
Oasis Media,Yearly Results of Oasis Media Matrix (in Rs. Cr.)
Oasis Sec,Yearly Results of Oasis Securities (in Rs. Cr.)
Oasis Textiles,Yearly Results of Oasis Textiles (in Rs. Cr.)
Oasis Tradelink,Yearly Results of Oasis Tradelink (in Rs. Cr.)
Oberoi Realty,Yearly Results of Oberoi Realty (in Rs. Cr.)
Objectone Info,Yearly Results of Objectone Information Systems (in Rs. Cr.)
Ocean Agro,Yearly Results of Ocean Agro (India) (in Rs. Cr.)
Ocean Infra,Yearly Results of Ocean Infrastructure (in Rs. Cr.)
Oceanaa Biotek,Yearly Results of Oceanaa Biotek Industries (in Rs. Cr.)
Oceanic Foods,Yearly Results of Oceanic Foods (in Rs. Cr.)
OCL Iron,Yearly Results of OCL Iron and Steel (in Rs. Cr.)
Octal Credit,Yearly Results of Octal Credit Capital (in Rs. Cr.)
Octavius,Yearly Results of Octavius Plantations (in Rs. Cr.)
Octaware Techno,Yearly Results of Octaware Technologies (in Rs. Cr.)
Odisha Cement,Yearly Results of Odisha Cement Limited (in Rs. Cr.)
Odyssey Corp,Yearly Results of Odyssey Corporation (in Rs. Cr.)
Odyssey Tech,Yearly Results of Odyssey Technologies (in Rs. Cr.)
Odyssey Video,Yearly Results of Odyssey Video Communications (in Rs. Cr.)
Oil Country,Yearly Results of Oil Country Tubular (in Rs. Cr.)
Oil India,Yearly Results of Oil India (in Rs. Cr.)
OK Play,Yearly Results of OK Play India (in Rs. Cr.)
Olatech Solutio,Yearly Results of Olatech Solutions (in Rs. Cr.)
Olectra Greente,Yearly Results of Olectra Greentech (in Rs. Cr.)
Olympia Capital,Yearly Results of Olympia Capitals (in Rs. Cr.)
Olympia Ind,Yearly Results of Olympia Industries (in Rs. Cr.)
Olympic Cards,Yearly Results of Olympic Cards (in Rs. Cr.)
Olympic Fin Ser,Yearly Results of Olympic Management and Financial Services (in Rs. Cr.)
Olympic Oil Ind,Yearly Results of Olympic Oil Industries (in Rs. Cr.)
OM Infra,Yearly Results of OM Infra (in Rs. Cr.)
Omansh Ente,Yearly Results of Omansh Enterprises (in Rs. Cr.)
Omax Autos,Yearly Results of Omax Autos (in Rs. Cr.)
Omaxe,Yearly Results of Omaxe (in Rs. Cr.)
Omega Ag-Seeds,Yearly Results of Omega Ag-Seeds (Punjab) (in Rs. Cr.)
Omega Int Tech,Yearly Results of Omega Interactive Technologies (in Rs. Cr.)
Omfurn India,Yearly Results of Omfurn India (in Rs. Cr.)
Omkar Overseas,Yearly Results of Omkar Overseas (in Rs. Cr.)
Omkar Pharma,Yearly Results of Omkar Pharmachem (in Rs. Cr.)
Omkar Special,Yearly Results of Omkar Speciality Chemicals (in Rs. Cr.)
Omni Axs Soft,Yearly Results of Omni Axs Software (in Rs. Cr.)
Omni Dye-Chem,Yearly Results of Omni Dye-Chem Exports (in Rs. Cr.)
Omnipotent Ind,Yearly Results of Omnipotent Industries (in Rs. Cr.)
